,FYGT10,fyff_3m,fygt2_3m,fygt10_3m,Baa,EXRate,Wilsh,BAA_TB10,Auto_TB2,Mortc_tb10,BankCred,ComPapOut,Compapis_M24,TED_SPR,LIBOR_SPR,MZM,cor_e_t,Idio_bank,ppi_561_ma24,VIX,Fpers_TB,FRBSLO_1,FRBSLO_2,FRBSLO_3,SLGOV_Liab,NonFed_Liab,Priv_nfdebt,Fin_Liab,ABS_CC,ABS_mort1,ABS_mort2,BD_Leverage
1998.5,0.1,0.5,0.61,0.69,7.33,-2.32,4.12,1.69,1.12,1.5,95.2,67.9196,0.0,0.6093,5.68926,111.2,0.501479467093,0.00177226983158,0.73968613493,21.18,8.20333333333,-7.1,-1.8,4.0,17.8,290.546,272.746,-4.137,37.384,18.733,14.92,-1.23054830379
1998.75,-0.18,0.58,0.5,0.5,7.15,3.24,-0.49,1.69,0.83,1.49,58.3,60.626,0.0,0.5989,5.68886,103.6,-0.0605629318359,0.00155951247105,0.769285714286,24.8,8.31666666667,0.0,-5.2,9.8,15.8,242.662,226.862,61.286,13.868,20.029,5.624,3.01537863022
1999.0,-0.93,1.11,0.13,0.57,7.18,-3.08,-1.12,2.65,1.79,2.18,155.8,47.906,0.0,1.2031,5.27314,161.4,-0.347155343153,0.00270584020513,0.846153846154,28.05,9.37,36.4,14.8,5.8,17.6,267.158,249.558,-64.89,13.268,14.123,15.899,-2.61682502393
1999.25,0.19,0.29,0.28,0.38,7.29,-1.29,5.52,2.57,1.74,2.07,48.3,27.955,0.0,0.5542,5.00415,137.7,-0.674481932656,0.00211458802666,0.845346396081,26.25,8.56,7.4,3.7,13.5,15.5,325.995,310.495,67.096,9.614,12.139,9.531,-1.79050972467
1999.5,0.46,0.45,0.69,0.89,7.48,2.6,1.83,2.3,1.74,1.74,17.7,41.621,0.0,0.5883,4.99825,100.7,-0.088092773784,0.00282295600117,1.28484848485,25.07,7.97666666667,10.0,8.3,14.5,5.3,241.258,235.958,-39.814,27.632,11.303,6.121,-2.31197538057
1999.75,0.61,0.44,1.0,1.24,7.95,0.62,-0.16,2.16,1.07,1.84,42.3,22.318,0.0,0.6196,5.30955,85.4,0.148721859918,0.00220637021342,1.51837888784,24.64,7.75,5.4,1.9,7.5,13.8,343.227,329.427,22.216,29.63,3.216,8.397,0.0959493704845
2000.0,0.32,0.34,1.0,1.25,8.38,-2.0,1.02,2.27,1.29,1.74,72.3,79.056,0.0,1.1623,6.18229,69.5,0.234646122805,0.00262496252715,1.46599799398,22.2,7.58,9.1,1.9,7.8,2.6,235.987,233.387,78.47,-4.132,5.217,6.492,2.71317299468
2000.25,0.55,0.13,1.12,1.34,8.33,-0.18,2.64,1.67,0.89,1.55,145.7,86.626,0.0,0.5392,6.03916,106.3,-0.0104099244779,0.0047188625477,1.43657768198,24.95,7.23333333333,10.9,9.4,3.8,1.3,294.058,292.758,44.955,2.256,0.49,4.576,-0.586280365346
2000.5,-0.67,0.36,0.74,0.33,8.4,2.92,1.15,2.41,0.27,2.16,131.6,57.908,0.0,0.4919,6.31191,95.1,-0.490936974087,0.00535061618452,1.10476190476,26.2,7.31666666667,24.6,21.4,-3.7,-2.3,327.551,329.851,18.556,18.11,1.048,6.666,-0.369788045995
2000.75,0.06,0.58,0.38,0.09,8.35,1.85,-0.57,2.3,0.64,2.1,142.4,88.493,0.0,0.5919,6.73188,41.0,0.149971913686,0.00275680711938,1.16693906141,20.74,7.63333333333,33.9,23.6,1.9,7.8,259.131,251.331,55.574,16.599,14.48,5.742,1.07263885613
2001.0,-0.31,0.4,-0.2,-0.37,8.34,3.22,0.03,2.6,-0.32,2.06,60.0,35.929,0.0,0.4884,6.77835,111.0,-0.410934373605,0.00372216548505,1.17575247316,23.63,8.40666666667,43.8,27.3,1.8,10.1,290.792,280.692,-44.673,34.783,15.703,11.739,8.97293539061
2001.25,-0.58,0.83,-0.39,0.01,7.93,-0.44,-2.09,2.77,2.7,1.87,92.7,-65.0139,0.0,0.4082,5.69818,155.2,-0.424891417918,0.00278793860076,0.885063093026,22.02,9.12333333333,59.7,45.4,-5.6,26.5,268.882,242.382,-17.041,18.491,16.998,4.749,-1.20066843009
2001.5,-0.02,0.93,0.36,1.27,8.07,3.68,-3.57,2.93,2.67,1.94,44.0,17.2135,0.0,0.6439,4.61388,283.0,-0.379865783315,0.0036642974872,0.886113589057,25.48,9.09,50.9,36.4,0.0,22.7,325.346,302.646,17.456,13.692,17.799,9.253,3.19997751252
2001.75,0.1,0.26,0.53,1.73,7.97,1.16,-0.88,2.73,2.34,1.89,18.6,-47.6472,0.0,0.1611,3.75114,188.5,-0.371415323539,0.00242886671782,0.874386948253,21.62,9.61,40.4,31.6,0.0,21.0,274.174,253.174,40.262,14.097,21.738,9.47,4.6426039909
2002.0,-0.67,0.33,0.57,2.41,7.91,-1.24,-4.54,3.34,-0.1,2.05,28.8,-50.8254,0.0,0.2001,2.40005,266.8,-0.3905591305,0.00280100448756,0.720633245383,33.56,9.74666666667,50.9,40.4,-7.1,35.3,272.202,236.902,-30.464,23.114,21.247,13.52,-4.73919192325
2002.25,0.47,0.08,1.38,3.39,7.87,1.07,2.65,2.83,1.13,1.96,46.1,-10.5716,0.0,0.1406,1.8206,199.3,-0.604508361708,0.001943415952,0.702312138728,21.09,8.51666666667,45.4,41.8,-5.7,21.7,290.528,268.828,28.746,-1.306,30.781,3.561,-3.00201617936
2002.5,0.17,0.03,1.7,3.49,8.03,0.54,-0.96,2.82,2.44,1.78,39.4,-42.9914,0.0,0.217,1.96696,87.4,-0.321938803176,0.00219843795396,1.10425614994,21.91,9.34666666667,25.0,14.5,0.0,37.7,272.895,235.195,67.62,14.048,26.573,5.898,-0.194961439153
2002.75,-0.56,0.05,0.88,2.97,7.9,-4.33,-5.29,3.25,1.26,1.84,61.6,-11.0737,0.0,0.1385,1.84845,103.1,-0.538431548375,0.00404540654302,1.09207195203,32.03,10.26,21.4,5.5,5.6,39.3,249.13,209.83,-39.851,-12.771,21.711,6.212,-0.648294458949
2003.0,-0.71,0.17,0.33,2.36,7.73,2.72,-0.74,3.79,0.97,2.17,211.9,-20.6485,0.0,0.1745,1.78454,78.5,-0.617912700921,0.00254235216877,1.22605568136,31.14,10.35,20.0,18.2,5.6,45.9,337.84,291.94,39.852,32.594,1.254,9.416,-10.593611172
2003.25,0.11,0.07,0.57,2.88,7.35,-3.92,-0.66,3.3,1.73,1.87,140.0,4.1962,0.772917840429,0.1761,1.36605,186.4,-0.586649088909,0.00227426283815,1.26881984527,31.17,10.0533333333,22.0,13.8,5.3,26.8,306.061,279.261,15.509,2.16,25.894,4.497,0.358424780134
2003.5,-0.09,0.13,0.49,2.83,6.85,-0.65,2.07,2.89,1.31,1.85,129.5,-9.1715,0.899834226667,0.1505,1.30047,66.9,-0.556297183751,0.00171633725506,0.988739714162,21.21,10.7666666667,8.9,12.7,3.7,42.3,389.586,347.286,66.055,-0.708,14.987,13.41,0.499076282302
2003.75,0.02,0.11,0.57,3.08,6.62,-2.62,3.02,2.64,2.2,1.65,178.1,-0.5837,0.918977660808,0.1895,1.10954,191.6,0.160958083569,0.00150234792772,1.04679229303,19.49,10.27,3.5,3.5,14.5,25.2,305.658,280.458,15.447,-20.582,31.325,9.689,-0.55902964186
2004.0,0.31,0.09,0.83,3.37,6.73,-2.31,2.41,2.44,2.55,1.66,-30.3,-33.5799,0.968424837929,0.2184,1.15837,-14.8,-0.158642374588,0.00118416027179,1.01364764268,16.1,10.1066666667,0.0,-1.8,14.3,26.2,312.799,286.599,116.523,-16.47,50.644,14.853,0.522330765202
2004.25,-0.14,0.12,0.88,3.27,6.44,-4.05,2.9,2.29,1.93,1.59,129.7,-31.6285,0.866717919271,0.2292,1.12815,-23.7,-0.0959008562055,0.00129305424338,1.09584086799,16.63,10.1866666667,-17.9,-10.9,11.3,38.1,383.879,345.779,53.838,-14.22,70.862,7.216,0.91249138106
2004.5,0.2,0.07,1.13,3.41,6.46,3.06,-0.67,2.11,2.24,1.48,199.2,34.3568,0.923051857204,0.1909,1.15194,132.3,0.0971924574968,0.00166873367396,1.18506623846,17.19,9.34666666667,-23.2,-19.6,17.0,16.2,374.853,358.653,-70.268,-5.688,93.48,15.353,-0.58758334684
2004.75,0.15,-0.06,1.31,3.17,6.62,0.32,-0.17,2.12,3.27,1.56,83.8,17.1134,0.949241592117,0.268,1.62804,77.4,-0.271722389297,0.00141161883219,1.18528227694,15.32,9.46,-20.0,-3.7,9.1,34.2,397.478,363.278,106.437,-2.309,119.01,7.965,0.775809803635
2005.0,-0.4,-0.01,0.82,2.34,6.21,-1.79,1.43,2.11,2.21,1.62,127.7,28.2599,0.986456048092,0.2925,2.0825,37.3,-0.465927395895,0.00137700119472,1.43487179487,16.27,9.02666666667,-21.1,-18.2,13.0,25.6,488.396,462.796,-4.254,-1.014,98.801,15.309,4.30440498305
